a 어
actinium 악티늄
actinoid 악티노이드
actinometer 액티노미터
actinomyces 액티노마이세스
actinomycin 악티노마이신
actinon 악티논
actinouranium 악티노우라늄
action 액션
active 액티브
activemovie 액티브무비
activex 액티브엑스
actomyosin 액토미오신
acton 액턴
acushnet 어커시넷
acworth 애크워스
acworth 액워스
acy 에이시
ada 아다
adabelle 애더벨
adair 어데어
adairsville 아데어스빌
adam 아담
adams 애덤스
adamsite 애덤자이트
adamson 애덤슨
adamstown 애덤스타운
adamsville 애덤스빌
adana 아다나
adapa 아다파
adapter 어댑터
adaptor 어댑터
adare 어데어
adcenture 어드벤처
addendum 어덴덤
addieville 애디빌
addington 애딩턴
addis 애디스
addison 애디슨
address 어드레스
addy 애디
ade 에이드
adel 아델
adela 아델라
adelaide 아델레이드
adelanto 아델란토
adell 아델
aden 아덴
adenauer 아데나워
adenine 아데닌
adenoid 아데노이드
adenosine 아데노신
adenovirus 아데노바이러스
adermin 아데르민
adger 애드가
adiantum 아디안툼
adin 애딘
adinole 아디놀
adirondack 애디론댁
aditi 아디티
aditya 아디트야
adiyaman 아디야만
adiz 아디즈
adler 애들러
adlington 애들링턴
admin 어드민
admire 어드마이어
admittance 어드미턴스
admob 애드몹
adna 애드나
adolph 아돌프
adolphus 아돌퍼스
adolphus 아돌푸스
adona 아도나
adonijah 아도니야
adonis 아도니스
adorm 아도름
adorno 아도르노
adrenaline 아드레날린
adrenochrome 아드레노크롬
adrian 아드리안
adriano 아드리아노
adrien 아드리언
adrienne 아드리엔
adsense 애드센스
adult 어덜트
advance 어드밴스
advantage 어드밴티지
advent 애드번트
adventure 어드벤처
adventure 에드벤체
adwolf 아드울프
ady 어디
aeas 아이아스
aegeus 아이게우스
aegina 아이기나
aegir 아에기르
aegisthos 아이기스토스
aelfric 앨프릭
aeneas 아이네이아스
aeneias 아이네이아스
aeneis 아이네이스
aeolos 아이올로스
aepyornis 아이피오르니스
aerial 에어리얼
aerobic 에어로빅
aerobics 에어로빅스
aerogram 에어러그램
aerosol 에어로졸
aeschines 아이스키네스
aeschylos 아이스킬로스
aesop 이솝
aestetik 에스테틱
aetna 애트나
aetna 에트나
afanacii 아파나시
affeldt 애펄트
affinity 어피니티
afghan 아프간
afghanistan 아프가니스탄
aflatoxin 아플라톡신
afreeca 아프리카
africa 아프리카
africanthropus 아프리칸트로푸스
afrikander 아프리칸더
afrikaner 아프리카너
afshan 아프샨
afterburner 애프터버너
aftercare 애프터케어
afton 애프턴
again 어게인
agamemnon 아가멤논
agapanthus 아가판투스
agape 아가페
agar 아가
agarose 아가로오스
agassi 애거시
agate 아게이트
agawam 아가왐
agency 에이전시
agenda 아젠다
agenda 어젠다
agenda 어젠더
agent 에이전트
ageratum 아게라툼
agius 에이지어스
aglycone 아글리콘
agnes 아그네스
agnes 애그니스
agness 아그네스
agnew 애그뉴
agni 아그니
agnon 아그논
agoura 아구라
agouti 아구티
agra 아그라
agree 어그리
agri 아리
agribusiness 애그리비즈니스
agricola 아그리콜라
agrippa 아그리파
agrobacterium 아그로박테리움
aguanga 아구앙가
aguascalientes 아구아스카리엔테스
aguila 아귈라
aguilar 아귈라
aguilera 아길레라
aguinaldo 아기날도
aguire 어과이어
ahern 어헌
ahmed 아메드
ahnapee 아나피
aho 아호
ahoskie 아호스키
ahrens 아런스
ahriman 아리만
ahualoa 아후알로아
ahwahnee 아와니
aiacos 아이아코스
aid 에이드
aida 아이다
aids 에이즈
aiken 에이큰
ailey 에일리
aimak 아이마크
aims 에임스
ainslie 에인즐리
ainsworth 에인스워스
ainu 아이누
air 에어
airbnb 에어비앤비
airbrush 에어브러시
airlie 에어라이
airlie 에얼리
airmont 에어몬트
airpoint 에어포인트
airy 에어리
aisle 아일
aitape 아이타페
aitken 에이큰
aitkin 에이킨
aitkin 에잇킨
ajax 아약스
ajax 에이잭스
ajo 아호
akan 아칸소
akaroa 아카로아
akbar 아크바르
akers 에이커스
akerson 애커슨
akins 에이킨스
akita 아키타
akkad 아카드
aklavik 어클라빅
akron 아크론캔톤
akron 애크런
aktau 악타우
akutan 아쿠탄
al 알
al 앨
al 앨버트
alabama 앨라배마
alabama 앨러바마
alabamine 앨라배민
alabaster 앨러배스터
alachua 앨라추아
aladdin 알라딘
alain 알랭
alamana 앨라마나
alameda 앨러미다
alamo 알라모
alamo 앨러모
alamogordo 앨라모고도
alamosa 앨라모사
alamosa 앨러모사
alan 알란
alan 앨런
alanine 알라닌
alapaha 알라파하
alapaha 앨러파하
alaric 알라리크
alarm 알람
alaska 알래스카
alaska 앨라스카
alastair 앨러스테어
alba 알바
alba 앨바
alban 알반
alban 올번
albani 알바니
albania 알바니아
albany 알바니
albany 앨버니
albany 올버니
albatross 앨버트로스
albedo 알베도
albee 앨비
albemarle 앨버말
albers 알베르스
albers 앨버스
albert 알베르
albert 앨버트
alberta 앨버타
alberti 알베르티
alberto 앨버토
alberton 앨버턴
albertville 앨버트빌
albia 앨비아
albin 앨빈
albino 알비노
albinoni 알비노니
albio 알비오
albion 알비온
albion 앨비언
albion 앨비온
albireo 알비레오
albright 올브라이트
album 앨범
albumin 알부민
albuminoid 알부미노이드
albumose 알부모오스
albuquerque 앨버커큐
albuquerque 앨버커키
albury 앨버리
alcee 앨시
alcestis 알케스티스
alcoa 알코아
alcoa 앨코아
alcock 올콕
alcohol 알코올
alcolu 알콜루
alcor 알코르
alcott 올컷
alcuin 앨퀸
aldebaran 알데바란
aldehyde 알데히드
alden 올던
alder 알더
alder 앨더
alder 올더
alderley 앨덜리
alderpoint 앨더포인트
alderson 앨더슨
aldington 올딩턴
aldol 알돌
aldora 알도라
aldora 앨도라
aldose 알도오스
aldosterone 알도스테론
aldrich 알드리치
aldrin 올드린
aledo 알레도
aledo 얼리도
aleh 앨리
aleixandre 알레익산드레
aleknagik 알레크나기크
aleksandrovich 알렉산드로비치
alekseev 알렉세예프
alen 앨런
alenuihaha 알레누이하하
alesia 알레시아
aleutian 알류샨
alex 알렉스
alex 앨릭스
alexander 알렉산더
alexandra 알렉산드라
alexandre 알렉상드르
alexandria 알렉산드리아
alexandrite 알렉산드라이트
alexei 알렉세이
alexin 알렉신
alexis 알렉시스
alfalfa 알팔파
alfieri 알피에리
alford 알퍼드
alford 앨퍼드
alfordsville 올퍼즈빌
alfred 알프레드
alfred 알프레트
alfred 앨프레드
alfred 앨프리드
algenib 알게니브
algieri 알지에리
algol 알골
algona 앨고나
algonquin 앨곤퀸
algorism 알고리즘
algorithm 알고리듬
algorithm 알고리즘
algren 올그런
alhambra 앨햄브라
alhazen 알하젠
ali 알리
alias 에일리어스
alibi 알리바이
alicante 알리칸테
alice 앨리스
aliceville 앨리스빌
alicia 알리시아
alicia 얼리샤
alidade 앨리데이드
alien 에일리언
alinamin 알리나민
aline 앨라인
alipay 알리페이
aliquippa 앨리퀴파
alison 앨리슨
alistair 앨리스터
alive 얼라이브
alizarine 알리자린
alkaeos 알카이오스
alkali 알칼리
alkaloid 알칼로이드
alkalosis 알칼로시스
alkane 알칸
alkene 알켄
alkibiades 알키비아데스
alkmaion 알크마이온
alkol 알코올
alkyl 알킬
alkylaluminium 알킬알루미늄
alkylene 알킬렌
alkyne 알킨
all 올
allagash 알라가시
allah 알라
allakaket 알라카케트
allamoore 앨러무어
allan 앨런
alledonia 알레도니아
allegan 앨러간
allegany 앨러가니
allegany 앨러게이니
alleghany 앨러게니
alleghany 앨러게이니
allegheny 앨러게니
allegory 알레고리
alleman 에일맨
allen 알렌
allen 앨런
allen 엘런
allendale 앨런데일
allende 아옌데
allenhurst 앨런허스트
allensworth 앨런스워스
allentown 앨런타운
allentown 앨렌타운
allenville 앨런빌
allergen 알레르겐
allergie 알레르기
allerton 앨러턴
alley 앨리
allgood 올굿
alliance 얼라이언스
alligator 앨리게이터
allilueva 알릴루예바
allison 앨리슨
allithiamine 알리티아민
allomyces 알로마이세스
allophane 앨러페인
allosaurus 알로사우루스
alloy 알로이
allport 올포트
allspice 올스파이스
allyn 알레인
allyson 앨리슨
alm 에이엘엠
alma 앨마
almagest 알마게스트
almaty 알마티
almeria 앨머리아
almira 알미라
almo 앨모
almon 앨먼
almond 아몬드
almond 알몬드
almont 알몬트
almont 앨몬트
almost 올모스트
almqvist 알름크비스트
almyra 알미라
alna 앨너
alocasia 알로카시아
aloe 알로에
aloha 알로하
alorton 얼로턴
alpaca 알파카
alpax 알팍스
alpena 앨피너
alpha 알파
alpha 앨파
alphabet 알파벳
alphago 알파고
alpharetta 알파레타
alpharetta 앨퍼레타
alphonso 앨폰소
alpine 알파인
alpine 앨파인
alpinist 알피니스트
alpoca 알포카
alread 알리드
alsen 알슨
alsop 앨솝
alsop 올솝
alston 올스턴
alta 알타
alta 앨타
altair 알타이르
altair 알테어
altamont 알타몬트
altamont 앨터몬트
altavista 알타비스타
altavista 앨터비스타
altdorfer 알트도르퍼
altenberg 알텐베르크
altha 알타
altha 앨타
altheimer 앨세이머
althusser 알튀세
altitude 앨티튜드
alto 알토
alto 앨토
alton 얼턴
alton 올턴
altona 알토나
altona 앨토나
altoona 앨투나
altruism 앨트루이즘
altura 앨투라
alturas 앨투러스
altus 앨터스
altus 앨투스
altvore 알트보어
alu 에이엘유
alumel 알루멜
alumina 알루미나
aluminium 알루미늄
aluminium 알루미니움
aluminon 알루미논
alumite 알루마이트
alun 앨런
alundum 알런덤
alva 앨바
alvada 앨버다
alvarado 알바라도
alvarado 앨버라도
alvarez 알바레스
alvarez 앨버레즈
alvin 앨빈
always 올웨이즈
aly 앨리
alyssum 알리숨
alzada 알자다
am 에이엠
amadeus 아마듀스
amador 아마도르
amagon 아마곤
amalgam 아말감
amalia 아말리아
amanda 아만다
amanda 어맨다
amandaville 어맨더빌
amanpour 아만푸어
amantadine 애먼타딘
amara 어마라
amarillo 아마릴로
amarillo 애머릴로
amaryllis 아마릴리스
amateur 아마추어
amateurism 아마추어리즘
amatol 아마톨
amazon 아마존
amber 앰버
amberg 앰버그
ambia 앰비아
ambler 앰블러
amboy 앰보이
ambridge 앰브리지
ambrose 앰브로즈
ambrosius 암브로시우스
ambulance 앰뷸런스
ambulance 앰블런스
amelia 아멜리아
amelia 어밀리아
amen 아멘
amenhotep 아멘호테프
amenia 아메니아
america 아메리카
americana 아메리카나
americanism 아메리카즘
americium 아메리슘
americus 아메리커스
americus 어메리커스
amery 애머리
ames 에임스
amesbury 에임즈버리
amesbury 에임즈베리
amethyst 애미시스트
amherst 애머스트
amherst 앰허스트
amia 아미아
amicetin 아미세틴
amide 아미드
amidine 아미딘
amidol 아미돌
amidon 애미던
amiel 아미엘
amigo 아미고
amikacin 아미카신
amine 아민
amino 아미노
aminobenzene 아미노벤젠
aminometradine 아미노메트라딘
aminophenol 아미노페놀
aminophylline 아미노필린
aminopyrine 아미노피린
amiodarone 아미오다론
amir 어미어
amish 애미시
amissville 아미스빌
amistad 아미스타드
amite 에이미트
amity 아미티
amlin 애믈린
amma 애마
amman 암만
ammeter 암미터
ammon 아몬
ammon 암몬
ammonia 암모니아
ammonite 암모나이트
ammonium 암모늄
ammonolysis 암모놀리시스
amo 아모
amobarbital 아모바비탈
amoeba 아메바
amon 아몬
amontons 아몽통
amor 아모르
amore 아모레
amorita 아모리타
amorphous 어모퍼스
amory 에이머리
amory 에이모리
amos 아모스
amos 애머스
amos 에이머스
amoxicillin 아목시실린
amoy 아모이
amp 앰프
ampere 암페어
amperemeter 암페어미터
amphetamine 암페타민
ampicillin 암피실린
amplestyle 앰플스타일
amplidyne 앰플리다인
amplifier 앰플리파이어
ampoule 앰풀
ampoule 앰플
amsden 앰스던
amsterdam 암스테르담
amsterdam 앰스터댐
amundsen 아문센
amuse 어뮤즈
amy 에이미
amygdalin 아미그달린
amylene 아밀렌
amyloid 아밀로이드
amylopectin 아밀로펙틴
amylopsin 아밀롭신
amylose 아밀로오스
amynodon 아미노돈
amyot 아미요
ana 아나
ana 애나
anabel 애너벨
anachronism 아나크로니즘
anaconda 아나콘다
anaconda 애너콘다
anacortes 아나코테스
anacreon 아나크레온
anadarko 애너다코
anadolu 아나돌루
anagram 애너그램
anaheim 애너하임
anahuac 아나우악
anahuac 애너왝
analgin 아날긴
analog 아날로그
analogue 아날로그
analogy 아날로지
analytics 애널리틱스
analyzer 애널라이저
ananas 아나나스
anand 아난드
ananova 아나노바
anapa 아나파
anaphylaxis 아나필락시스
anarchism 아나키즘
anarchist 아나키스트
anastacia 아나스타샤
anatahan 아나타한
anatole 아나톨
anatoxin 아나톡신
anaxagoras 아낙사고라스
anaximandros 아낙시만드로스
anaximenes 아낙시메네스
ancho 앤초
anchor 앵커
anchorage 앵커리지
anco 앤코
ancona 안코나
and 앤드
andale 앤데일
andalusia 안달루시아
andalusian 안달루시안
andersen 안데르센
anderson 앤더슨
andersonville 앤더슨빌
andersson 안데르손
andes 안데스
anding 앤딩
andover 앤도버
andre 앤드리
andrea 앤드리아
andree 앤드리
andreessen 앤드리슨
andres 안드레스
andrew 앤드루
andrews 앤드루스
androgen 안드로겐
android 안드로이드
andrology 앤드롤로지
andromache 안드로마케
andromeda 안드로메다
andros 안드로스
andrzej 안제이
andrzejewski 안제예프스키
andy 앤디
aneka 애니카
anemometer 애니모미터
anemone 아네모네
aneroid 아네로이드
aneta 아네타
anethole 아네톨
anfinsen 안핀슨
angaur 앙가우르
angel 에인절
angel 엔젤
angela 앤절라
angelfish 에인절피시
angelica 안젤리카
angelica 앤젤리카
angelico 안젤리코
angelina 앤젤리나
angell 에인절
angelo 안젤로
angelo 앤절로
angelus 안젤루스
angie 앤지
angier 앤지어
angina 앙기나
angiotensin 앤지오텐신
angiotensinogen 앤지오텐시노겐
angle 앵글
anglesea 앵글시
anglesey 앵글시
angleton 앵글턴
angola 앙골라
angoon 안군
angora 앙고라
angora 앵고라
angstrom 옹스트롬
anguilla 앵귈라
anguilla 앵길라
angus 앵거스
anilide 아닐리드
aniline 아닐린
animal 애니멜
animalism 애니멀리즘
animas 애니머스
animation 애니메이션
animatism 애니머티즘
animatograph 애니매토그래프
animator 애니메이터
animism 애니미즘
animodocumentary 애니머다큐멘터리
anise 아니스
anisidine 아니시딘
anisole 아니솔
aniston 애니스턴
anita 애니타
anjanette 앤저넷
anka 앵카
ankara 앙카라
ankaratra 앙카라트라
ankeny 앙키니
anklet 앵클릿
ann 앤
anna 안나
anna 애나
annabella 애나벨라
annam 안남
annandale 애넌데일
annapolis 아나폴리스
annawan 애나완
anne 앤
annealing 어닐링
annecy 안시
annetta 애네타
annia 애니아
annie 애니
annise 어니스
anniston 애니스턴
annona 아노나
announcer 아나운서
annsville 앤즈빌
annville 앤빌
anoa 아노아
anode 애노드
anoka 애너카
anoka 어노카
anomaloscope 아노말로스코프
anonym 아노님
anonymous 어나니머스
anopheles 아노펠레스
anorak 아노락
anouilh 아누이
ansa 안사
ansel 앤설
anselm 안젤름
anserine 앤서린
ansermet 앙세르메
ansi 안시
anson 앤슨
ansonia 앤소니아
antalya 안탈야
antananarivo 안타나나리보
antares 안타레스
antelami 안텔라미
antelope 앤털로프
antelope 앤텔로프
antenna 안테나
anthem 앤섬
anthem 앤텀
anthocyan 안토시안
anthology 앤솔러지
anthon 앤손
anthony 앤서니
anthony 앤터니
anthracene 안트라센
anthraquinone 안트라퀴논
anthurium 앤슈리엄
anti 앤티
antiauxin 안티옥신
antiberiberin 안티베리베린
antic 앤틱
anticenter 안티센터
antichrist 안티크리스트
anticodon 안티코돈
anticorona 안티코로나
anticosti 앤티코스티
anticreeper 앤티크리퍼
antietam 앤티텀
antigo 안티고
antigo 앤티고
antigua 앤티가
antiknock 앤티노크
antilles 앤틸리스
antimagnetic 안티마그네틱
antimissile 앤티미사일
antimony 안티모니
antimony 앤티모니
antinomy 안티노미
antioch 안티오크
antioch 앤티오크
antiochos 안티오코스
antipodes 앤티퍼디스
antiproton 앤티프로톤
antipyrine 안티피린
antique 안티크
antique 앤티크
antisthenes 안티스테네스
antitoxin 안티톡신
antivitamin 안티비타민
antler 앤틀러
antlers 앤틀러스
antoine 앙투안
antoine 앤트완
anton 앤턴
antonin 앤터닌
antonio 앤토니오
antonius 안토니우스
antony 안토니
antony 앤터니
antrim 앤트림
antu 안투
antwerp 앤튜워프
antwerp 앤트워프
anu 아누
anubis 아누비스
anvers 앙베르
anvik 안비크
any 애니
anywhere 애니웨어
anza 안자
anzengruber 안첸그루버
anzus 앤저스
aomori 아오모리
ap 에이피
apache 아파치
apalachicola 아팔라치콜라
apalachicola 애펄래치콜라
apartheid 아파르트헤이트
apartment 아빠트
apartment 아파트
apatite 아파타이트
apatow 애퍼타우
apec 에이펙
apelles 아펠레스
aphelandra 아펠란드라
aphorism 아포리즘
aphrodite 아프로디테
apia 아피아
aplite 애플라이트
apn 에이피엔
apo 에이피오
apocrine 아포크린
apocrypha 아포크리파
apollinaire 아폴리네르
apollo 아폴로
apollodoros 아폴로도로스
apollon 아폴론
apollonios 아폴로니오스
apollonius 아폴로니우스
apomorphine 아포모르핀
apopka 아폽카
apopka 어팝카
aporia 아포리아
apostrophe 아포스트로피
app 앱
appalachia 애팔래치아
appalachian 애팔래치아
appeal 어필
appenzeller 아펜젤러
appert 아페르
appetizer 애피타이저
apple 애폴
apple 애플
appleby 애플비
applegate 애플게이트
applet 애플릿
appleton 애플턴
application 애플리케이션
appling 애플링
appomattox 아포맷톡스
approach 어프로치
apron 에이프런
apse 애프스
apt 앱트
apu 에이피유
apulia 아풀리아
aq 에이큐
aqaba 아카바
aqualung 애퀄렁
aquamarine 아콰마린
aquasco 아쿠아스코
aquatint 애쿼틴트
aque 아쿠아
aquilla 아퀼라
aquinas 아퀴나스
aquinnah 아퀴나
aquino 아키노
ar 에이아르
arab 아랍
arabi 아라비
arabi 애러비
arabia 아라비아
arabinose 아라비노오스
arachne 아라크네
arafura 아라푸라
arago 아라고
aragon 아라곤
aragon 아라공
aragon 애러건
aragonite 아라고나이트
arakan 아라칸
aral 아랄
aram 아람
aran 애런
aransas 어랜서스
arantius 아란티우스
arany 어러니
aranyaka 아라니아카
arapaho 어래퍼호
arapahoe 아라파호
arapahoe 어래퍼호
ararat 아라랏
aratos 아라토스
arbeau 아르보
arboga 아보가
arborvale 아보베일
arbos 아르보스
arbour 아버
arbovirus 아르보바이러스
arbuckle 아버클
arc 아크
arcade 아케이드
arcadia 아카디아
arcadia 아케이디아
arcadius 아르카디우스
arcas 아르카스
arcata 아르카타
arch 아치
archdale 아치데일
archer 아처
archie 아치
archilochos 아르킬로코스
archimedes 아르키메데스
architecture 아키텍처
archive 아카이브
arco 아코
arcola 아콜라
arcos 아르코스
arcrosin 아크로신
arcturus 아르크투루스
arcturus 악튜러스
ardabil 아르다빌
ardell 아들
ardell 아르델
arden 아덴
arden 아든
ardmore 아드모어
ards 아즈
arduino 아두이노
are 아르
aredale 에어데일
aregelia 아레겔리아
arena 아레나
arencibia 아렌시비아
ares 아레스
aretha 어리사
aretino 아레티노
argali 아르갈리
argelander 아르겔란더
argenta 아젠타
arghezi 아르게지
arginase 아르기나아제
arginine 아르기닌
arginuse 아르기누세
argo 아르고
argon 아르곤
argonia 아고니아
argonne 아르곤
argos 아르고스
argovie 아르고비
argun 아르군
argyle 아가일
ari 아리
aria 아리아
ariadne 아리아드네
arianna 아리아나
ariel 아리엘
aries 에리스
arietta 아리에타
arikbukha 아리크부카
arimo 아리모
arion 아리온
ariosto 아리오스토
aripeka 애리퍼카
aris 에어리스
aristarchos 아리스타르코스
aristide 아리스티드
aristides 아리스티데스
aristippos 아리스티포스
aristophanes 아리스토파네스
aristoteles 아리스토텔레스
ariton 에리톤
arius 아리우스
arivaca 아리바카
arizona 애리조나
arkadelphia 아커델피아
arkansas 아칸소
arkansaw 아칸소
arkdale 아크데일
arkhangelsk 아르항겔스크
arkin 아킨
arkoma 아코마
arkosite 아르코사이트
arkwright 아크라이트
arl 에이아르엘
arland 아를랑
arland 알랜드
arleigh 알리
arlene 알린
arley 알리
arlington 알링턴
arm 암
arma 아르마
armadillo 아르마딜로
armagh 아마
arman 아르망
armature 아마추어
armel 아르멜
armenia 아르메니아
armeria 아르메리아
armhole 암홀
armidale 아미데일
armilda 아밀다
armitage 아미티지
armour 아무르
armstrong 암스트롱
armuchee 아머치
army 아미
arnauld 아르노
arndt 아른트
arnegard 안가드
arnett 아네트
arnett 아넷
arnhem 아넘
arnica 아르니카
arnim 아르님
arnold 아널드
arnold 아놀드
arnoldson 아르놀드손
arnoldsville 아널즈빌
arnott 아노트
arnulf 아르눌프
arock 에이록
aromarama 아로마라마
aromatherapy 아로마세러피
aron 아롱
aronofsky 애러노프스키
arowana 아로와나
arp 아프
arpin 아핀
arquerite 아케라이트
arquette 아켓
arran 애런
arrey 애리
arriba 아리바
arrieta 애리에타
arrington 애링턴
arrive 어라이브
arrive 어리이브
arrow 애로
arrowsmith 애로스미스
ars 에쓰
arsenal 아스널
arsine 아르신
arsphenamine 아르스페나민
art 아트
artaud 아르토
artemev 아터메브
artemis 아르테미스
artesia 아르테시아
artesian 르테시안
arthur 아서
arthurdale 아서데일
artichoke 아티초크
artie 아티
artify 아티파이
artist 아티스트
artotype 아토타이프
artwork 아트워크
aruba 아루바
arundel 애런델
arunta 아룬타
arvada 알바다
arvida 아바이다
arvin 아빈
arvonia 아보니아
aryan 아리안
arzamas 아르자마스
as 에이에스
asa 아사
asa 애사
asahikawa 아사히카와
asam 아잠
asat 에이샛
asbestos 아스베스토스
asbury 애즈버리
asbury 애즈베리
ascaridole 아스카리돌
ascension 어센션
ascii 아스키
ascii 아스키코드
asclepias 아스클레피아스
asco 애스코
ase 아스펜
asean 아세안
asem 아셈
ash 애쉬
ashburn 애슈번
ashburnham 애시번햄
ashburton 애슈버턴
ashby 애슈비
ashby 애시비
ashcroft 애슈크로프트
ashdown 애시다운
asheboro 애쉬버러
asher 애셔
asherton 애셔턴
asheville 애슈빌
ashfield 애슈필드
ashfield 애시필드
ashford 애쉬포드
ashford 애슈퍼드
ashford 애시퍼드
ashgabat 아슈하바드
ashgabat 아시가바트
ashland 애슐랜드
ashley 애슐리
ashtabula 애슈터뷸라
ashtarte 아슈타르테
ashton 애슈턴
ashton 애시턴
ashur 아슈르
ashurbanipal 아슈르바니팔
ashville 애슈빌
ashwood 애쉬우드
ashwood 애시우드
asia 아시아
aske 아스케
aslan 아슬란
asm 에이에스엠
asmara 아스마라
aspac 아스팍
asparagine 아스파라긴
asparagus 아스파라거스
asparteme 아스파르템
aspen 아스펜
aspen 애스펀
aspermont 애스퍼몬트
asphalt 아스팔트
aspinwall 아스핀월
aspirator 아스피레이터
aspirin 아스피린
asquith 애스퀴스
asroc 아스록
assange 어산지
assaria 아사리아
assassin 아사신
assemblage 어셈블리지
assembler 어셈블러
assisi 아시시
assist 어시스트
assmann 아스만
assr 에이에스에스아르
assumption 어섬션
assumption 어섬프션
assur 아수르
assyria 아시리아
astair 애스테어
astana 아스타나
astatine 아스타틴
astatula 아스타툴라
aster 애스터
asterisk 애스터리스크
asteroid 아스테로이드
asteroxylon 아스테록실론
asti 애스티
astile 아스타일
astley 애스틀리
aston 애스턴
astoria 애스토리아
astrakhan 아스트라한
astringent 아스트린젠트
astrovision 아스트로비전
asturias 아스투리아스
asuncion 아순시온
asus 에이수스
asw 에이에스더블유
atacama 아타카마
atacms 에이태큼스
atahualpa 아타우알파
atalanta 아탈란타
atascadero 아타스카데로
atascosa 애터스코사
atc 에이티시
atchison 애치슨
atco 앳코
ate 아테
atget 아제
athabaska 애서배스카
athanasius 아타나시우스
athelstan 애설스탠
athena 아테나
athenae 아테네
athens 애선스
atherton 애서턴
athetosis 아테토시스
athlon 애슬론
athol 아톨
athol 애솔
atkins 앳킨스
atkinson 앳킨슨
atl 에이티엘
atlanta 아틀란타
atlanta 애틀란타
atlanta 애틀랜타
atlantes 어틀랜티즈
atlantic 애틀란틱
atlantic 애틀랜틱
atlantis 아틀란티스
atlantis 애틀랜티스
atlas 아틀라스
atlas 애틀라스
atlas 애틀러스
atlee 애틀리
atm 에이티엠
atmo 애트모
atmore 애트모어
ato 에이티오
atoka 어토카
atom 아톰
atom 애텀
atom 애톰
atomism 아토미즘
aton 아톤
atp 에이티피
atpase 에이티피아제
atreus 아트레우스
atrium 아트리움
atropine 아트로핀
ats 에이티에스
attachment 어태치먼트
attack 어택
attalia 아탈리아
attalla 아탈라
attalla 어탤라
attapulgus 애터펄거스
attawapiskat 애터워피스컷
attenborough 애튼버러
attic 애틱
attica 애티카
attila 아틸라
attitude 애티튜드
attleboro 애틀버러
attleboro 애틀버로
attlee 애틀리
attraction 어트랙션
attu 애투
attwood 애트우드
atwater 앳워터
atwell 애트웰
atwood 애투드
atwood 애트우드
atwood 앳우드
au 에이유
auber 오베르
aubrey 오브리
auburn 오번
auburndale 오번데일
auburntown 오번타운
auch 오슈
aucilla 오실라
auckland 오클랜드
auction 옥션
auden 오든
audio 오디오
audiometer 오디오미터
audiotex 오디오텍스
audiovisual 오디오비주얼
audiphone 오디폰
audition 오디션
audra 오드라
audrain 오드레인
audrey 오드리
audubon 오듀본
auenbrugger 아우엔브루거
auer 아우어
